cod_jur,Jurisdiccion,Region,pob_j_2015,pob_j_2016,pob_j_2017,pob_j_2018,pob_j_2019,pob_j_2020,pob_j_2021,pob_j_2022,pob_j_2023,pob_j_2024,pob_j_2025,Provincia,Habitantes,Ranking NBI,Ranking,LAT_centr,LONG_centr,REGIÓN,GRANDES REGIONES,Cod ISO 3166 alpha 2,Capital,Gobernador
02,Ciudad Autónoma de Buenos Aires,Buenos Aires,3054267,3059122,3063728,3068043,3072029,3075646,3078836,3081550,3083770,3085483,3086680,Ciudad De Buenos Aires,3.078.836,"0,070134587",23,"-34,614","-58,446",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,AR-C,Ciudad Autónoma de Buenos Aires,Horacio Rodríguez Larreta
06,Buenos Aires,Pampeana,16659931,16841135,17020012,17196396,17370144,17541141,17709598,17875743,18039509,18200851,18359753,Buenos Aires,17.709.598,"0,112227479",16,"-36,674","-60,557",Pampeana,Buenos Aires,AR-B,La Plata,Axel Kicillof
10,Catamarca,Noroeste,396895,400678,404433,408152,411824,415438,418991,422476,425885,429208,432438,Catamarca,418.991,"0,145602895",10,"-27,336","-66,948",Noroeste,Norte Grande,AR-K,San Fernando del Valle de Catamarca,Raúl Jalil
14,Córdoba,Sierras,3567654,3606540,3645321,3683937,3722332,3760450,3798261,3835738,3872830,3909489,3945677,Córdoba,3.798.261,"0,087318408",22,"-32,143","-63,802",Sierras,Centro,AR-X,Córdoba,Juan Schiaretti
18,Corrientes,Litoral,1070283,1080655,1090938,1101084,1111052,1120801,1130320,1139604,1148631,1157386,1165860,Corrientes,1.130.320,"0,197213529",5,"-28,774","-57,801",Litoral,Norte Grande,AR-W,Corrientes,Gustavo Valdés
22,Chaco,Litoral,1143201,1155723,1168165,1180477,1192616,1204541,1216247,1227736,1238989,1249992,1260737,Chaco,1.216.247,"0,231215638",3,"-26,386","-60,766",Litoral,Norte Grande,AR-H,Resistencia,Jorge Capitanich
26,Chubut,Patagonia,566922,577466,587956,598380,608729,618994,629181,639294,649330,659284,669155,Chubut,629.181,"0,107139199",18,"-43,789","-68,527",Patagonia,Patagonia,AR-U,Rawson,Mariano Arcioni
30,Entre Ríos,Litoral,1321415,1334489,1347508,1360443,1373270,1385961,1398510,1410908,1423136,1435177,1447019,Entre Ríos,1.398.510,"0,115653308",15,"-32,059","-59,201",Litoral,Centro,AR-E,Paraná,Gustavo Bordet
34,Formosa,Litoral,579250,584614,589916,595129,600229,605193,610019,614706,619240,623605,627790,Formosa,610.019,"0,252311213",1,"-24,895","-59,932",Litoral,Norte Grande,AR-P,Formosa,Gildo Insfrán
38,Jujuy,Noroeste,727780,736542,745252,753891,762440,770881,779212,787436,795539,803507,811328,Jujuy,779.212,"0,181298764",7,"-23,32","-65,764",Noroeste,Norte Grande,AR-Y,San Salvador de Jujuy,Gerardo Morales
42,La Pampa,Pampeana,343056,346191,349299,352378,355422,358428,361394,364322,367207,370047,372838,La Pampa,361.394,"0,057217021",24,"-37,132","-65,447",Pampeana,Patagonia,AR-L,Santa Rosa,Carlos Verna
46,La Rioja,Cuyo,367728,372879,378047,383220,388386,393531,398648,403727,408760,413735,418645,La Rioja,398.648,"0,155",9,"-29,686","-67,182",Cuyo,Norte Grande,AR-F,La Rioja,Ricardo Quintela
50,Mendoza,Cuyo,1885551,1907045,1928304,1949293,1969982,1990338,2010363,2030061,2049411,2068396,2087006,Mendoza,2.010.363,"0,102961293",19,"-34,63","-68,583",Cuyo,Nuevo Cuyo,AR-M,Mendoza,Rodolfo Suárez
54,Misiones,Litoral,1189446,1204182,1218771,1233177,1247362,1261294,1274992,1288476,1301723,1314714,1327431,Misiones,1.274.992,"0,191260134",6,"-26,875","-54,652",Litoral,Norte Grande,AR-N,Posadas,Oscar Herrera Ahuad
58,Neuquén,Patagonia,619745,628897,637913,646784,655501,664057,672461,680726,688850,696833,704673,Neuquén,672.461,"0,124145731",13,"-38,642","-70,119",Patagonia,Patagonia,AR-Q,Neuquén,Omar Gutiérrez
62,Río Negro,Patagonia,698874,708799,718646,728403,738060,747610,757052,766387,775610,784715,793697,Río Negro,757.052,"0,116962287",14,"-40,406","-67,229",Patagonia,Patagonia,AR-R,Viedma,Arabela Carreras
66,Salta,Noroeste,1333365,1351878,1370283,1388532,1406584,1424397,1441988,1459378,1476539,1493448,1510087,Salta,1.441.988,"0,236793767",2,"-24,299","-64,815",Noroeste,Norte Grande,AR-A,Salta,Gustavo Sáenz
70,San Juan,Cuyo,738959,747488,755994,764464,772876,781217,789489,797697,805830,813878,821835,San Juan,789.489,"0,140322425",12,"-30,865","-68,889",Cuyo,Nuevo Cuyo,AR-J,San Juan,Sergio Uñac
74,San Luis,Cuyo,476351,482796,489225,495629,502000,508328,514610,520845,527023,533137,539178,San Luis,514.610,"0,107371069",17,"-33,758","-66,028",Cuyo,Nuevo Cuyo,AR-D,San Luis,Alberto Rodríguez Saá
78,Santa Cruz,Patagonia,320469,329499,338542,347593,356647,365698,374756,383827,392904,401984,411065,Santa Cruz,374.756,"0,097290115",20,"-48,815","-69,956",Patagonia,Patagonia,AR-Z,Río Gallegos,Alicia Kirchner
82,Santa Fe,Litoral,3397532,3425656,3453674,3481514,3509113,3536418,3563390,3589999,3616227,3642063,3667505,Santa Fe,3.563.390,"0,094640629",21,"-30,707","-60,95",Litoral,Centro,AR-S,Santa Fe,Omar Perotti
86,Santiago del Estero,Noroeste,928097,938109,948172,958251,968309,978313,988245,998093,1007830,1017428,1026866,Santiago del Estero,988.245,"0,22699472",4,"-27,782","-63,252",Noroeste,Norte Grande,AR-G,Santiago del Estero,Gerardo Zamora
90,Tucumán,Noroeste,1592878,1613476,1633992,1654388,1674622,1694656,1714487,1734118,1753523,1772680,1791571,Tucumán,1.714.487,"0,164390645",8,"-26,948","-65,365",Noroeste,Norte Grande,AR-T,San Miguel de Tucumán,Juan Luis Manzur
94,Tierra del Fuego - Antártida - Islas del Atlántico Sur,Extremo Austral,152317,156509,160720,164944,169183,173432,177697,181983,186285,190601,194926,Tierra Del Fuego,177.697,"0,145105121",11,"-54,342","-67,394",Extremo Austral,Patagonia,AR-V,Ushuaia,Gustavo Melella
S/D,,,,S/D,,,,,,,,,,,,,,,,,,,,
